epoch,train_ppl,valid_ppl
1,351.1072,143.5860
2,99.0837,79.8427
3,66.2494,64.1958
4,54.7335,57.9182
5,48.0492,54.1774
6,43.5981,51.1675
7,39.9405,49.7332
8,37.1728,48.5636
9,34.6628,48.4626
10,32.4483,47.8000
11,30.4197,47.6678
12,28.3502,48.2217
13,22.6271,44.8428
14,20.9189,44.9695
15,19.4111,44.3943
16,18.8170,44.3380
17,18.5777,44.4076
18,18.1264,44.3427
19,18.0319,44.3205
20,18.0401,44.3138
21,17.9809,44.3162
22,17.9809,44.3140
23,17.9987,44.3130
24,17.9853,44.3120
25,17.9386,44.3117
26,18.0050,44.3115
27,17.9923,44.3120
28,17.9921,44.3119
29,18.0502,44.3119
30,17.9583,44.3119
31,17.9709,44.3119
32,18.0197,44.3119
33,17.9507,44.3119
34,17.9213,44.3119
35,17.9724,44.3119
36,17.9864,44.3119
37,17.9874,44.3119
38,17.9795,44.3119
39,17.9066,44.3119
40,17.9418,44.3119
test,,42.0308
